행정구역별,인구 (명),남자 (명),여자 (명)
종로구,333049,163779,169270
중구,281832,140804,141028
용산구,334524,164294,170230
성동구,629254,316518,312736
동대문구,737871,370013,367858
성북구,604359,299346,305013
도봉구,631484,316304,315180
서대문구,794666,395820,398846
마포구,422132,209324,212808
영등포구,1050035,518495,531540
관악구,734022,367858,366164
강남구,326174,163376,162798
중구,111095,54890,56205
서구,368184,184094,184090
동구,230048,115432,114616
영도구,216162,109806,106356
부산진구,603057,300845,302212
동래구,569099,279246,289853
남구,352447,176120,176327
시부,1645393,815761,829632
수원시,223718,110403,113315
성남시,272470,136661,135809
의정부시,108223,52385,55838
안양시,134746,65118,69628
부천시,109093,54069,55024
양주군,277904,139150,138754
여주군,104520,53242,51278
화성군,208134,105276,102858
파주군,165970,82490,83480
광주군,95483,48707,46776
연천군,67289,34388,32901
포천군,114141,58202,55939
가평군,70072,35899,34173
양평군,106959,54852,52107
이천군,113610,58284,55326
용인군,111442,56012,55430
안성군,132888,68012,64876
김포군,91751,46602,45149
평택군,224925,112380,112545
고양군,143015,72489,70526
강화군,103034,51433,51601
옹진군,51217,26101,25116
시흥군,206801,104650,102151
인천시,797143,397125,400018
인천시 중구,86105,42639,43466
인천시 동구,176844,88904,87940
인천시 남구,321245,163265,157980
인천시 북구,212949,102317,110632
시부,416724,208737,207987
춘천시,140397,69641,70756
원주시,120133,60083,60050
강릉시,84843,42665,42178
속초시,71351,36348,35003
홍천군,120559,61852,58707
횡성군,90908,46682,44226
영월군,112563,58433,54130
평창군,93095,48678,44417
정선군,138469,72650,65819
철원군,65631,33594,32037
화천군,46021,23522,22499
양구군,38959,19941,19018
인제군,56542,29117,27425
고성군,55495,28499,26996
양양군,44627,22640,21987
춘성군,63751,32645,31106
원성군,74138,38146,35992
명주군,149035,76775,72260
삼척군,294239,152707,141532
시부,297537,149351,148186
청주시,192453,96010,96443
충주시,105084,53341,51743
청원군,199250,102291,96959
보은군,97601,49911,47690
옥천군,103028,52698,50330
영동군,108939,55355,53584
진천군,75678,38731,36947
괴산군,140648,72192,68456
음성군,111142,57000,54142
단양군,89783,46587,43196
중원군,127865,66220,61645
제천군,169786,87083,82703
시부,602886,302518,300368
천안시,96663,47474,49189
금산군,122658,62747,59911
연기군,105223,53773,51450
논산군,226253,114458,111795
부여군,174162,88231,85931
서천군,140628,71133,69495
청양군,85732,44100,41632
홍성군,144013,73404,70609
예산군,157196,80450,76746
당진군,167738,85961,81777
공주군,183022,94100,88922
보령군,157836,80948,76888
서산군,265588,135787,129801
아산군,162217,82326,79891
천원군,118968,60953,58015
대덕군,132851,68040,64811
대전시,506223,255044,251179
동부출장소,116390,58646,57744
북부출장소,105117,53710,51407
중부출장소,144944,72625,72319
서부출장소,139772,70063,69709
시부,582557,292346,290211
전주시,311237,156651,154586
군산시,154456,76964,77492
완주군,168633,85945,82688
진안군,95753,48849,46904
무주군,71140,36237,34903
장수군,73138,37222,35916
임실군,104272,52497,51775
순창군,91688,46275,45413
고창군,175167,87743,87424
부안군,155698,77949,77749
