sd,sgg,sd_code,sgg_code
seoul,jongno,11,11010
seoul,jung,11,11020
seoul,yongsan,11,11030
seoul,seongdong,11,11040
seoul,dongdaemun,11,11060
seoul,seongbuk,11,11080
seoul,dobong,11,11100
seoul,eunpyeong,11,11120
seoul,seodaemun,11,11130
seoul,mapo,11,11140
seoul,gangseo,11,11160
seoul,guro,11,11170
seoul,yeongdeungpo,11,11190
seoul,dongjak,11,11200
seoul,gwanak,11,11210
seoul,gangnam,11,11230
seoul,gangdong,11,11250
busan,jung,21,21010
busan,seo,21,21020
busan,dong,21,21030
busan,yeongdo,21,21040
busan,busanjin,21,21050
busan,dongnae,21,21060
busan,nam,21,21070
busan,buk,21,21080
busan,haeundae,21,21090
busan,saha,21,21100
busan,gangseo branch,21,21800
daegu,jung,22,22010
daegu,dong,22,22020
daegu,seo,22,22030
daegu,nam,22,22040
daegu,buk,22,22050
daegu,suseong,22,22060
incheon,jung,23,23010
incheon,dong,23,23020
incheon,nam,23,23030
incheon,buk,23,23800
gyeonggi,suwon,31,31010
gyeonggi,seongnam,31,31020
gyeonggi,uijeongbu,31,31030
gyeonggi,anyang,31,31040
gyeonggi,bucheon,31,31050
gyeonggi,gwangmyeong,31,31060
gyeonggi,songtan,31,31070
gyeonggi,dongducheon,31,31080
gyeonggi,yangju,31,31310
gyeonggi,namyangju,31,31320
gyeonggi,yeoju,31,31330
gyeonggi,pyeongtaek,31,31340
gyeonggi,hwaseong,31,31350
gyeonggi,siheung,31,31360
gyeonggi,paju,31,31370
gyeonggi,goyang,31,31380
gyeonggi,gwangju,31,31390
gyeonggi,yeoncheon,31,31400
gyeonggi,pocheon,31,31410
gyeonggi,gapyeong,31,31420
gyeonggi,yangpyeong,31,31430
gyeonggi,icheon,31,31440
gyeonggi,yongin,31,31450
gyeonggi,anseong,31,31460
gyeonggi,gimpo,31,31470
gyeonggi,ganghwa,31,31850
gyeonggi,ongjin,31,31860
gyeonggi,banwol branch,31,31870
gyeonggi,gwacheon branch,31,31880
gangwon,chuncheon,32,32010
gangwon,wonju,32,32020
gangwon,gangneung,32,32030
gangwon,donghae,32,32040
gangwon,taebaek,32,32050
gangwon,sokcho,32,32060
gangwon,chunseong,32,32310
gangwon,hongcheon,32,32320
gangwon,hoengseong,32,32330
gangwon,wonseong,32,32340
gangwon,yeongwol,32,32350
gangwon,pyeongchang,32,32360
gangwon,jeongseon,32,32370
gangwon,cheorwon,32,32380
gangwon,hwacheon,32,32390
gangwon,yanggu,32,32400
gangwon,inje,32,32410
gangwon,goseong,32,32420
gangwon,yangyang,32,32430
gangwon,myeongju,32,32820
gangwon,samcheok,32,32830
chungbuk,cheongju,33,33010
chungbuk,chungju,33,33020
chungbuk,jecheon,33,33030
chungbuk,cheongwon,33,33310
chungbuk,boeun,33,33320
chungbuk,okcheon,33,33330
chungbuk,yeongdong,33,33340
chungbuk,jincheon,33,33350
chungbuk,goesan,33,33360
chungbuk,eumseong,33,33370
chungbuk,jungwon,33,33380
chungbuk,jewon,33,33390
chungbuk,danyang,33,33400
chungnam,daejeon dong,34,34011
chungnam,daejeon jung,34,34012
chungnam,daejeon yuseong branch,34,34013
chungnam,cheonan,34,34020
chungnam,geumsan,34,34310
chungnam,daedeok,34,34320
chungnam,yeongi,34,34330
chungnam,gongju,34,34340
chungnam,nonsan,34,34350
chungnam,buyeo,34,34360
chungnam,seocheon,34,34370
chungnam,boryeong,34,34380
chungnam,cheongyang,34,34390
chungnam,hongseong,34,34400
chungnam,yesan,34,34410
chungnam,seosan,34,34420
chungnam,dangjin,34,34430
chungnam,asan,34,34850
chungnam,cheonwon,34,34860
jeonbuk,jeonju,35,35010
jeonbuk,gunsan,35,35020
jeonbuk,iri,35,35030
jeonbuk,jeongju,35,35040
jeonbuk,namwon,35,35050
jeonbuk,wanju,35,35310
jeonbuk,jinan,35,35320
jeonbuk,muju,35,35330
jeonbuk,jangsu,35,35340
jeonbuk,imsil,35,35350
jeonbuk,namwon,35,35360
jeonbuk,sunchang,35,35370
jeonbuk,jeongeup,35,35380
jeonbuk,gochang,35,35390
jeonbuk,buan,35,35400
jeonbuk,gimje,35,35840
jeonbuk,okgu,35,35850
jeonbuk,iksan,35,35860
jeonnam,gwangju dong,36,36011
jeonnam,gwangju seo,36,36012
jeonnam,gwangju buk,36,36013
jeonnam,mokpo,36,36020
jeonnam,yeosu,36,36030
jeonnam,suncheon,36,36040
jeonnam,geumseong,36,36050
jeonnam,gwangsan,36,36310
jeonnam,damyang,36,36320
jeonnam,gokseong,36,36330
jeonnam,gurye,36,36340
jeonnam,gwangyang,36,36350
jeonnam,yeocheon,36,36360
jeonnam,seungju,36,36370
jeonnam,goheung,36,36380
jeonnam,boseong,36,36390
jeonnam,hwasun,36,36400
jeonnam,jangheung,36,36410
jeonnam,gangjin,36,36420
jeonnam,haenam,36,36430
jeonnam,yeongam,36,36440
jeonnam,muan,36,36450
jeonnam,naju,36,36460
jeonnam,hampyeong,36,36470
jeonnam,yeonggwang,36,36480
jeonnam,jangseong,36,36490
jeonnam,wando,36,36500
jeonnam,jindo,36,36510
jeonnam,sinan,36,36520
jeonnam,yeocheon branch,36,36850
gyeongbuk,pohang,37,37010
gyeongbuk,gyeongju,37,37020
gyeongbuk,gimcheon,37,37030
gyeongbuk,andong,37,37040
gyeongbuk,gumi,37,37050
gyeongbuk,yeongju,37,37060
gyeongbuk,yeongcheon,37,37070
gyeongbuk,dalseong,37,37310
gyeongbuk,gunwi,37,37320
gyeongbuk,uiseong,37,37330
gyeongbuk,andong gun,37,37340
gyeongbuk,cheongsong,37,37350
gyeongbuk,yeongyang,37,37360
gyeongbuk,yeongdeok,37,37370
gyeongbuk,yeongil,37,37380
gyeongbuk,wolseong,37,37390
gyeongbuk,yeongcheon,37,37400
gyeongbuk,gyeongsan,37,37410
gyeongbuk,cheongdo,37,37420
gyeongbuk,goryeong,37,37430
gyeongbuk,seongju,37,37440
gyeongbuk,chilgok,37,37450
gyeongbuk,geumneung,37,37460
gyeongbuk,seonsan,37,37470
gyeongbuk,sangju,37,37480
gyeongbuk,mungyeong,37,37490
gyeongbuk,yecheon,37,37500
gyeongbuk,yeongpung,37,37520
gyeongbuk,bonghwa,37,37530
gyeongbuk,uljin,37,37540
gyeongbuk,ulleung,37,37550
gyeongnam,ulsan jung,38,38011
gyeongnam,ulsan nam,38,38012
gyeongnam,bangeojin branch,38,38013
gyeongnam,masan,38,38020
gyeongnam,jinju,38,38030
gyeongnam,changwon,38,38040
gyeongnam,jinhae,38,38050
gyeongnam,chungmu,38,38060
gyeongnam,samcheonpo,38,38070
gyeongnam,gimhae,38,38080
gyeongnam,jinyang,38,38310
gyeongnam,uiryeong,38,38320
gyeongnam,haman,38,38330
gyeongnam,changnyeong,38,38340
gyeongnam,miryang,38,38350
gyeongnam,yangsan,38,38360
gyeongnam,ulju,38,38370
gyeongnam,gimhae,38,38380
gyeongnam,uichang,38,38390
gyeongnam,tongyeong,38,38400
gyeongnam,geoje,38,38410
gyeongnam,goseong,38,38420
gyeongnam,sacheon,38,38430
gyeongnam,namhae,38,38440
gyeongnam,hadong,38,38450
gyeongnam,sancheong,38,38460
gyeongnam,hamyang,38,38470
gyeongnam,geochang,38,38480
gyeongnam,hapcheon,38,38490
jeju,jeju,39,39010
jeju,seogwipo,39,39020
jeju,bukjeju,39,39310
jeju,namjeju,39,39320
