year,sd_nm,sd_cd,sgg_nm_kr,sgg_cd,sgg_nm_en,tot,men,women
2015,seoul,11,종로구,11010,jongno,"146,119","71,951","74,168"
2015,seoul,11,중구,11020,jung,"118,021","58,223","59,798"
2015,seoul,11,용산구,11030,yongsan,"212,189","102,154","110,035"
2015,seoul,11,성동구,11040,seongdong,"285,137","141,429","143,708"
2015,seoul,11,광진구,11050,gwangjin,"350,993","172,622","178,371"
2015,seoul,11,동대문구,11060,dongdaemun,"349,957","174,710","175,247"
2015,seoul,11,중랑구,11070,jungnang,"397,487","197,499","199,988"
2015,seoul,11,성북구,11080,seongbuk,"445,710","216,872","228,838"
2015,seoul,11,강북구,11090,gangbuk,"315,754","154,667","161,087"
2015,seoul,11,도봉구,11100,dobong,"337,541","165,130","172,411"
2015,seoul,11,노원구,11110,nowon,"558,270","271,933","286,337"
2015,seoul,11,은평구,11120,eunpyeong,"472,775","230,226","242,549"
2015,seoul,11,서대문구,11130,seodaemun,"297,761","143,596","154,165"
2015,seoul,11,마포구,11140,mapo,"369,875","177,608","192,267"
2015,seoul,11,양천구,11150,yangcheon,"459,665","227,166","232,499"
2015,seoul,11,강서구,11160,gangseo,"562,468","274,379","288,089"
2015,seoul,11,구로구,11170,guro,"405,371","201,721","203,650"
2015,seoul,11,금천구,11180,geumcheon,"225,898","114,746","111,152"
2015,seoul,11,영등포구,11190,yeongdeungpo,"357,484","178,064","179,420"
2015,seoul,11,동작구,11200,dongjak,"392,969","193,400","199,569"
2015,seoul,11,관악구,11210,gwanak,"495,600","250,352","245,248"
2015,seoul,11,서초구,11220,seocho,"413,695","198,391","215,304"
2015,seoul,11,강남구,11230,gangnam,"533,061","255,149","277,912"
2015,seoul,11,송파구,11240,songpa,"625,195","304,662","320,533"
2015,seoul,11,강동구,11250,gangdong,"438,201","217,667","220,534"
2015,busan,21,중구,21010,jung,"43,728","21,385","22,343"
2015,busan,21,서구,21020,seo,"110,492","53,964","56,528"
2015,busan,21,동구,21030,dong,"87,554","43,004","44,550"
2015,busan,21,영도구,21040,yeongdo,"127,704","64,126","63,578"
2015,busan,21,부산진구,21050,busanjin,"373,925","181,791","192,134"
2015,busan,21,동래구,21060,dongnae,"261,094","127,953","133,141"
2015,busan,21,남구,21070,nam,"280,041","138,053","141,988"
2015,busan,21,북구,21080,buk,"297,709","147,815","149,894"
2015,busan,21,해운대구,21090,haeundae,"405,046","196,930","208,116"
